,open,low,high,close,price_change,change_percent,date,shamsi_date
0,"13,700","13,700","13,700","13,700",260,1.93%,2011/11/27,1390/09/06
1,"13,440","13,440","13,440","13,440",90,0.67%,2011/11/28,1390/09/07
2,"13,350","13,350","13,350","13,350",50,0.37%,2011/11/29,1390/09/08
3,"13,400","13,400","13,400","13,400",100,0.75%,2011/11/30,1390/09/09
4,"13,500","13,500","13,500","13,500",150,1.11%,2011/12/01,1390/09/10
5,"13,650","13,650","13,650","13,650",40,0.29%,2011/12/03,1390/09/12
6,"13,610","13,610","13,610","13,610",40,0.29%,2011/12/04,1390/09/13
7,"13,650","13,650","13,650","13,650",100,0.74%,2011/12/07,1390/09/16
8,"13,550","13,550","13,550","13,550",100,0.74%,2011/12/08,1390/09/17
9,"13,450","13,450","13,450","13,450",-,-,2011/12/10,1390/09/19
10,"13,450","13,450","13,450","13,450",80,0.59%,2011/12/11,1390/09/20
11,"13,530","13,530","13,530","13,530",100,0.74%,2011/12/12,1390/09/21
12,"13,630","13,630","13,630","13,630",140,1.03%,2011/12/13,1390/09/22
13,"13,770","13,770","13,770","13,770",60,0.44%,2011/12/14,1390/09/23
14,"13,710","13,710","13,710","13,710",130,0.95%,2011/12/15,1390/09/24
15,"13,840","13,840","13,840","13,840",240,1.73%,2011/12/17,1390/09/26
16,"14,080","14,080","14,080","14,080",420,2.98%,2011/12/18,1390/09/27
17,"14,500","14,500","14,500","14,500",800,5.52%,2011/12/19,1390/09/28
18,"15,300","15,300","15,300","15,300",150,0.99%,2011/12/20,1390/09/29
19,"15,150","15,150","15,150","15,150",920,6.47%,2011/12/21,1390/09/30
20,"14,230","14,230","14,230","14,230",120,0.84%,2011/12/22,1390/10/01
21,"14,350","14,350","14,350","14,350",450,3.14%,2011/12/24,1390/10/03
22,"14,800","14,800","14,800","14,800",450,3.04%,2011/12/25,1390/10/04
23,"15,250","15,250","15,250","15,250",100,0.66%,2011/12/26,1390/10/05
24,"15,150","15,150","15,150","15,150",50,0.33%,2011/12/27,1390/10/06
25,"15,200","15,200","15,200","15,200",20,0.13%,2011/12/28,1390/10/07
26,"15,220","15,220","15,220","15,220",330,2.17%,2011/12/29,1390/10/08
27,"15,550","15,550","15,550","15,550",350,2.25%,2011/12/31,1390/10/10
28,"15,900","15,900","15,900","15,900",1500,9.43%,2012/01/01,1390/10/11
29,"17,400","17,400","17,400","17,400",1200,7.41%,2012/01/02,1390/10/12
30,"16,200","16,200","16,200","16,200",400,2.53%,2012/01/03,1390/10/13
31,"15,800","15,800","15,800","15,800",180,1.14%,2012/01/04,1390/10/14
